last_changed,state
1738881033268,3321.4
1738882563337,3321.5
1738884729444,3321.6
1738887084557,3321.7
1738888574634,3321.8
1738890139710,3321.9
1738892063792,3322.0
1738894991926,3322.1
1738897532052,3322.2
1738899092125,3322.3
1738900763204,3322.4
1738903313325,3322.5
1738906188471,3322.6
1738908253557,3322.7
1738909868638,3322.8
1738911703725,3322.9
1738914598867,3323.0
1738917459997,3323.1
1738919048071,3323.2
1738920730769,3323.3
1738923160885,3323.4
1738926036026,3323.5
1738928173123,3323.6
1738929238175,3323.7
1738929308182,3323.8
1738929378183,3323.9
1738929453181,3324.0
1738929523183,3324.1
1738929593186,3324.2
1738929668193,3324.3
1738929738196,3324.4
1738929808197,3324.5
1738929878206,3324.6
1738929952206,3324.7
1738930027209,3324.8
1738930097211,3324.9
1738930172215,3325.0
1738930242218,3325.1
1738930317224,3325.2
1738932397321,3325.3
1738934007405,3325.4
1738935317463,3325.5
1738936657524,3325.6
1738938007590,3325.7
1738939057637,3325.8
1738940712721,3325.9
1738942407797,3326.0
1738943867868,3326.1
1738945442940,3326.2
1738946978014,3326.3
1738948528087,3326.4
1738950078162,3326.5
1738951678256,3326.6
1738953363327,3326.7
1738955358417,3326.8
1738958108551,3326.9
1738959688627,3327.0
1738960563668,3327.1
1738961568715,3327.2
1738962703767,3327.3
1738963853825,3327.4
1738965018884,3327.5
1738966208938,3327.6
1738967784061,3327.7
1738969409094,3327.8
1738971050168,3327.9
1738972175222,3328.0
1738973685293,3328.1
1738975280377,3328.2
1738976546437,3328.3
1738978192514,3328.4
1738979128569,3328.5
1738980308613,3328.6
1738981723685,3328.7
1738983501765,3328.8
1738985131845,3328.9
1738986781925,3329.0
1738989187037,3329.1
1738992022171,3329.2
1738994047263,3329.3
1738995642345,3329.4
1738997298430,3329.5
1738999838544,3329.6
1739002723680,3329.7
1739004703778,3329.8
1739006328854,3329.9
1739007973929,3330.0
1739010604062,3330.1
1739013453195,3330.2
1739015409285,3330.3
1739017024357,3330.4
1739018714434,3330.5
1739019929499,3330.6
1739019999556,3330.7
1739020074516,3330.8
1739020144508,3330.9
1739020219517,3331.0
1739020289516,3331.1
1739020364524,3331.2
1739020434521,3331.3
1739020509529,3331.4
1739020584532,3331.5
1739020669539,3331.6
1739022529622,3331.7
1739023564680,3331.8
1739024539739,3331.9
1739025504768,3332.0
1739026439813,3332.1
1739027449863,3332.2
1739028324912,3332.3
1739029209946,3332.4
1739030550007,3332.5
1739032847120,3332.6
1739034640211,3332.7
1739035685253,3332.8
1739036775305,3332.9
1739037895365,3333.0
1739039030414,3333.1
1739040185471,3333.2
1739041335523,3333.3
1739042711640,3333.4
1739044291663,3333.5
1739045726749,3333.6
1739048561861,3333.7
1739051932039,3333.8
1739057878319,3333.9
1739057948323,3334.0
1739058023325,3334.1
1739058098334,3334.2
1739058168333,3334.3
1739058243337,3334.4
1739059878416,3334.5
1739061398487,3334.6
1739062993562,3334.7
1739064628653,3334.8
1739066623737,3334.9
1739068963860,3335.0
1739070253909,3335.1
1739071489969,3335.2
1739072745029,3335.3
1739074200098,3335.4
1739075850178,3335.5
1739078332299,3335.6
1739081152436,3335.7
1739083072524,3335.8
1739084672624,3335.9
1739086307683,3336.0
1739088537783,3336.1
1739091372937,3336.2
1739093578042,3336.3
1739095158117,3336.4
1739096808202,3336.5
1739099073307,3336.6
1739101768442,3336.7
1739101843446,3336.8
1739101963451,3336.9
1739102088458,3337.0
1739102203461,3337.1
1739102323467,3337.2
1739102448473,3337.3
1739102568478,3337.4
1739102688486,3337.5
1739102808494,3337.6
1739102928496,3337.7
1739105063587,3337.8
1739106029634,3337.9
1739107154687,3338.0
1739108274740,3338.1
1739109619807,3338.2
1739111175878,3338.3
1739112755955,3338.4
1739114230028,3338.5
1739115340095,3338.6
1739116485148,3338.7
1739117652194,3338.8
1739118802243,3338.9
1739120237353,3339.0
1739121617379,3339.1
1739122907440,3339.2
1739124026496,3339.3
1739124940541,3339.4
1739126015597,3339.5
1739127070651,3339.6
1739128140697,3339.7
1739129234747,3339.8
1739129499764,3339.8
1739129659776,3339.8
1739129819789,3339.8
1739129919788,3339.8
1739130104822,3339.8
1739130459867,3339.8
1739130594824,3339.9
1739132130887,3340.0
1739133640968,3340.1
1739134831015,3340.2
1739135726074,3340.3
1739136616101,3340.4
1739137506148,3340.5
1739138361188,3340.6
1739139412240,3340.7
1739140822304,3340.8
1739142252375,3340.9
1739144442530,3341.0
1739145910552,3341.1
1739147325617,3341.2
1739148335672,3341.3
1739149310714,3341.4
1739150329764,3341.5
1739151264808,3341.6
1739152199855,3341.7
1739153139904,3341.8
1739154189968,3341.9
1739155376012,3342.0
1739157312111,3342.1
1739160072239,3342.2
1739162367370,3342.3
1739163932423,3342.4
1739165567509,3342.5
1739167208576,3342.6
1739169028662,3342.7
1739171888804,3342.8
1739174510005,3342.9
1739176075006,3343.0
1739177680082,3343.1
1739179335179,3343.2
1739181660282,3343.3
1739184540399,3343.4
1739186655520,3343.5
1739186975532,3343.6
1739187090535,3343.7
1739187200538,3343.8
1739190170677,3343.9
1739198986102,3344.0
1739202544278,3344.1
1739209639626,3344.2
1739210404650,3344.3
1739211249691,3344.4
1739212384756,3344.5
1739213724815,3344.6
1739214814868,3344.7
1739215829923,3344.8
1739216859974,3344.9
1739217435999,3345.0
1739217966027,3345.1
1739218496052,3345.2
1739219031077,3345.3
